timestamp,posture,source
2025-11-02 12:06:32,Sitting,LiveCam
2025-11-02 12:06:32,Sitting,LiveCam
2025-11-02 12:06:32,Walking,LiveCam
2025-11-02 12:06:32,Walking,LiveCam
2025-11-02 12:06:32,Walking,LiveCam
2025-11-02 12:06:33,Sitting,LiveCam
2025-11-02 12:06:33,Sitting,LiveCam
2025-11-02 12:06:33,Sitting,LiveCam
2025-11-02 12:06:33,Sitting,LiveCam
2025-11-02 12:06:33,Sitting,LiveCam
2025-11-02 12:06:33,Sitting,LiveCam
2025-11-02 12:06:34,Sitting,LiveCam
2025-11-02 12:06:34,Sitting,LiveCam
2025-11-02 12:06:34,Sitting,LiveCam
2025-11-02 12:06:34,Sitting,LiveCam
2025-11-02 12:06:34,Sitting,LiveCam
2025-11-02 12:06:34,Sitting,LiveCam
2025-11-02 12:06:34,Sitting,LiveCam
2025-11-02 12:06:35,Sitting,LiveCam
2025-11-02 12:06:35,Sitting,LiveCam
2025-11-02 12:06:35,Sitting,LiveCam
2025-11-02 12:06:35,Sitting,LiveCam
2025-11-02 12:06:35,Sitting,LiveCam
2025-11-02 12:06:35,Sitting,LiveCam
2025-11-02 12:06:35,Sitting,LiveCam
2025-11-02 12:06:35,Sitting,LiveCam
2025-11-02 12:06:36,Sitting,LiveCam
2025-11-02 12:06:36,Sitting,LiveCam
2025-11-02 12:06:36,Sitting,LiveCam
2025-11-02 12:06:36,Sitting,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:36,Walking,LiveCam
2025-11-02 12:06:37,Walking,LiveCam
2025-11-02 12:06:37,Walking,LiveCam
2025-11-02 12:06:37,Walking,LiveCam
2025-11-02 12:06:37,Walking,LiveCam
2025-11-02 12:06:37,Sitting,LiveCam
2025-11-02 12:06:37,Sitting,LiveCam
2025-11-02 12:06:37,Walking,LiveCam
2025-11-02 12:06:37,Walking,LiveCam
2025-11-02 12:06:37,Walking,LiveCam
2025-11-02 12:06:37,Walking,LiveCam
2025-11-02 12:06:37,Sitting,LiveCam
2025-11-02 12:06:37,Sitting,LiveCam
2025-11-02 12:06:37,Sitting,LiveCam
2025-11-02 12:06:37,Sitting,LiveCam
2025-11-02 12:06:37,Sitting,LiveCam
2025-11-02 12:06:37,Sitting,LiveCam
2025-11-02 12:06:37,Sitting,LiveCam
2025-11-02 12:06:37,Sitting,LiveCam
2025-11-02 12:06:37,Sitting,LiveCam
2025-11-02 12:06:37,Sitting,LiveCam
2025-11-02 12:06:37,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:38,Sitting,LiveCam
2025-11-02 12:06:39,Sitting,LiveCam
2025-11-02 12:06:39,Sitting,LiveCam
2025-11-02 12:06:39,Sitting,LiveCam
2025-11-02 12:06:39,Sitting,LiveCam
2025-11-02 12:06:39,Sitting,LiveCam
2025-11-02 12:06:39,Walking,LiveCam
2025-11-02 12:06:39,Walking,LiveCam
2025-11-02 12:06:39,Walking,LiveCam
2025-11-02 12:06:39,Walking,LiveCam
2025-11-02 12:06:39,Walking,LiveCam
2025-11-02 12:06:39,Walking,LiveCam
2025-11-02 12:06:39,Sitting,LiveCam
2025-11-02 12:06:39,Sitting,LiveCam
2025-11-02 12:06:39,Sitting,LiveCam
2025-11-02 12:06:39,Sitting,LiveCam
2025-11-02 12:06:39,Sitting,LiveCam
2025-11-02 12:06:39,Sitting,LiveCam
2025-11-02 12:06:39,Sitting,LiveCam
2025-11-02 12:06:39,Sitting,LiveCam
2025-11-02 12:06:40,Sitting,LiveCam
2025-11-02 12:06:40,Sitting,LiveCam
2025-11-02 12:06:40,Sitting,LiveCam
2025-11-02 12:06:40,Sitting,LiveCam
2025-11-02 12:06:40,Sitting,LiveCam
2025-11-02 12:06:40,Sitting,LiveCam
2025-11-02 12:06:40,Sitting,LiveCam
2025-11-02 12:06:40,Sitting,LiveCam
2025-11-02 12:06:40,Sitting,LiveCam
2025-11-02 12:06:40,Sitting,LiveCam
2025-11-02 12:06:40,Sitting,LiveCam
2025-11-02 12:06:40,Sitting,LiveCam
2025-11-02 12:06:40,Sitting,LiveCam
2025-11-02 12:06:40,Sitting,LiveCam
2025-11-02 12:06:40,Sitting,LiveCam
2025-11-02 12:06:41,Sitting,LiveCam
2025-11-02 12:06:41,Sitting,LiveCam
2025-11-02 12:06:41,Sitting,LiveCam
2025-11-02 12:06:41,Sitting,LiveCam
2025-11-02 12:06:41,Sitting,LiveCam
2025-11-02 12:06:41,Sitting,LiveCam
2025-11-02 12:06:41,Sitting,LiveCam
2025-11-02 12:06:41,Sitting,LiveCam
2025-11-02 12:06:41,Sitting,LiveCam
2025-11-02 12:06:41,Sitting,LiveCam
2025-11-02 12:06:41,Walking,LiveCam
2025-11-02 12:06:41,Walking,LiveCam
2025-11-02 12:06:41,Running,LiveCam
2025-11-02 12:06:41,Running,LiveCam
2025-11-02 12:06:41,Running,LiveCam
2025-11-02 12:06:41,Running,LiveCam
2025-11-02 12:06:42,Running,LiveCam
2025-11-02 12:06:42,Running,LiveCam
2025-11-02 12:06:42,Running,LiveCam
2025-11-02 12:06:42,Running,LiveCam
2025-11-02 12:06:42,Running,LiveCam
2025-11-02 12:06:42,Walking,LiveCam
2025-11-02 12:06:42,Walking,LiveCam
2025-11-02 12:06:42,Walking,LiveCam
2025-11-02 12:06:42,Walking,LiveCam
2025-11-02 12:06:42,Walking,LiveCam
2025-11-02 12:06:42,Walking,LiveCam
2025-11-02 12:06:42,Walking,LiveCam
2025-11-02 12:06:42,Walking,LiveCam
2025-11-02 12:06:42,Walking,LiveCam
2025-11-02 12:06:42,Walking,LiveCam
2025-11-02 12:06:42,Walking,LiveCam
2025-11-02 12:06:42,Sitting,LiveCam
2025-11-02 12:06:42,Sitting,LiveCam
2025-11-02 12:06:43,Sitting,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:43,Walking,LiveCam
2025-11-02 12:06:44,Walking,LiveCam
2025-11-02 12:06:44,Walking,LiveCam
2025-11-02 12:06:44,Walking,LiveCam
2025-11-02 12:06:44,Walking,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:44,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:45,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:46,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:47,Standing,LiveCam
2025-11-02 12:06:48,Standing,LiveCam
2025-11-02 12:06:48,Standing,LiveCam
2025-11-02 12:06:48,Standing,LiveCam
2025-11-02 12:06:48,Standing,LiveCam
2025-11-02 12:06:48,Standing,LiveCam
2025-11-02 12:06:48,Standing,LiveCam
2025-11-02 12:06:48,Standing,LiveCam
2025-11-02 12:06:48,Standing,LiveCam
2025-11-02 12:06:48,Standing,LiveCam
2025-11-02 12:06:48,Standing,LiveCam
2025-11-02 12:06:48,Standing,LiveCam
2025-11-02 12:06:48,Standing,LiveCam
2025-11-02 12:06:48,Standing,LiveCam
2025-11-02 12:06:48,Walking,LiveCam
2025-11-02 12:06:48,Walking,LiveCam
2025-11-02 12:06:48,Walking,LiveCam
2025-11-02 12:06:48,Running,LiveCam
2025-11-02 12:06:48,Walking,LiveCam
2025-11-02 12:06:48,Running,LiveCam
2025-11-02 12:06:48,Running,LiveCam
2025-11-02 12:06:49,Running,LiveCam
2025-11-02 12:06:49,Running,LiveCam
2025-11-02 12:06:49,Running,LiveCam
2025-11-02 12:06:49,Running,LiveCam
2025-11-02 12:06:49,Running,LiveCam
2025-11-02 12:06:49,Running,LiveCam
2025-11-02 12:06:49,Running,LiveCam
2025-11-02 12:06:49,Running,LiveCam
2025-11-02 12:06:49,Running,LiveCam
2025-11-02 12:06:49,Running,LiveCam
2025-11-02 12:06:49,Walking,LiveCam
2025-11-02 12:06:49,Walking,LiveCam
2025-11-02 12:09:50,Standing,Image
